project-starch/capstone-sail 9893cfa773be21dc0b733b675cfe4a61cb0c4a6c
REVOKE model/riscv_insts_capstone_cap.sail 5
SHRINK model/riscv_insts_capstone_cap.sail 37
TIGHTEN model/riscv_insts_capstone_cap.sail 86
DELIN model/riscv_insts_capstone_cap.sail 128
LCC model/riscv_insts_capstone_cap.sail 159
SCC model/riscv_insts_capstone_cap.sail 193
SPLIT model/riscv_insts_capstone_cap.sail 226
SEAL model/riscv_insts_capstone_cap.sail 283
MREV model/riscv_insts_capstone_cap.sail 327
INIT model/riscv_insts_capstone_cap.sail 374
MOVC model/riscv_insts_capstone_cap.sail 412
DROP model/riscv_insts_capstone_cap.sail 440
CINCOFFSET model/riscv_insts_capstone_cap.sail 465
CINCOFFSETIMM model/riscv_insts_capstone_cap.sail 499
CALL model/riscv_insts_capstone_ctrflow.sail 7
RETURN model/riscv_insts_capstone_ctrflow.sail 67
CJALR model/riscv_insts_capstone_ctrflow.sail 200
CBNZ model/riscv_insts_capstone_ctrflow.sail 238
CAPENTER model/riscv_insts_capstone_ctrflow.sail 270
CAPEXIT model/riscv_insts_capstone_ctrflow.sail 382
CCSRRW model/riscv_insts_capstone_ctrstatus.sail 5
QUERY model/riscv_insts_capstone_debug.sail 11
RCUPDATE model/riscv_insts_capstone_debug.sail 37
ALLOC model/riscv_insts_capstone_debug.sail 63
REV model/riscv_insts_capstone_debug.sail 97
CAPCREATE model/riscv_insts_capstone_debug.sail 118
CAPTYPE model/riscv_insts_capstone_debug.sail 131
CAPNODE model/riscv_insts_capstone_debug.sail 156
CAPPERM model/riscv_insts_capstone_debug.sail 180
CAPBOUND model/riscv_insts_capstone_debug.sail 204
CAPPRINT model/riscv_insts_capstone_debug.sail 228
TAGSET model/riscv_insts_capstone_debug.sail 241
TAGGET model/riscv_insts_capstone_debug.sail 264
SETWORLD model/riscv_insts_capstone_debug.sail 288
ONPARTITION model/riscv_insts_capstone_debug.sail 319
SETEH model/riscv_insts_capstone_debug.sail 341
ONNORMALEH model/riscv_insts_capstone_debug.sail 363
LDC model/riscv_insts_capstone_mem.sail 5
STC model/riscv_insts_capstone_mem.sail 93
